"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"BLUE RIDGE ISD","Spring 2016","7","54","1630","72","13","28","54","1605","59","4","41","54","3840","74","9","26","","","","","","","","","","",
"BLUE RIDGE ISD","Spring 2016","8","44","1682","89","9","11","43","1648","74","0","26","","","","","","41","3771","71","0","29","41","3627","54","5","46",
"BLUE RIDGE ISD","May 2016","5","10","1447","40","0","60","13","1465","31","0","69","","","","","","","","","","","","","","","",
"BLUE RIDGE ISD","May 2016","8","5","1516","60","0","40","10","1605","70","0","30","","","","","","","","","","","","","","","",
"BLUFF DALE ISD","Spring 2016","3","7","1467","57","14","43","7","1436","86","0","14","","","","","","","","","","","","","","","",
"BLUFF DALE ISD","Spring 2016","4","13","1496","77","23","23","13","1557","62","23","38","12","3808","75","8","25","","","","","","","","","","",
"BLUFF DALE ISD","Spring 2016","5","10","1575","70","30","30","11","1691","91","45","9","","","","","","10","3949","70","20","30","","","","","",
"BLUFF DALE ISD","Spring 2016","6","10","1731","100","40","0","10","1708","90","30","10","","","","","","","","","","","","","","","",
"BLUFF DALE ISD","Spring 2016","7","8","1628","88","13","13","7","1654","100","0","0","8","3639","63","0","38","","","","","","","","","","",
"BLUFF DALE ISD","Spring 2016","8","14","1730","100","29","0","15","1682","93","7","7","","","","","","12","3818","75","8","25","12","3581","58","0","42",
"BLUFF DALE ISD","May 2016","5","3","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"BLUFF DALE ISD","May 2016","8","","","","","","1","-","-","-","-","","","","","","","","","","","","","","",""
